blk_no,street,Postcode,n_supmkt_400,dist_supmkt,n_food_400,n_mrt_400m,dist_mrt,dist_cbd,n_presch_400,n_sch_2km,prank_2km,grnarea_400
1,BEACH RD,190001,1,127.10887381860003,155,0,441.6956472448947,64.05968088517615,1,4,146.0,5.580603059676599
1,BEDOK STH AVE 1,460001,2,115.48692998468933,31,0,540.7576634285679,7451.474775466396,4,18,6.0,2.071160644970296
1,CHAI CHEE RD,461001,1,399.6001992990635,5,0,915.7333042411618,6559.589364591053,3,12,21.0,0.324354482339165
1,CHANGI VILLAGE RD,500001,0,,54,0,,16243.891728332554,0,0,,4.586773106650339
1,DELTA AVE,160001,3,210.4576814867768,64,0,673.1652406572972,2137.1484115622866,8,12,15.0,0.0
1,DOVER RD,130001,1,302.77381605833057,36,0,557.4269413937212,7183.899718827736,1,10,13.0,0.935742058233898
1,EVERTON PK,80001,4,196.7756087805084,291,0,509.5965569522451,93.062082354475,8,5,15.0,1.26608339829027
1,GHIM MOH RD,270001,1,361.363318743598,25,0,731.0439993174493,7271.344548135587,2,7,13.0,2.005367448812137
1,HAIG RD,430001,1,285.8812089289929,50,0,914.0820743934767,3306.981288717102,3,14,9.0,0.736110207175247
1,HOUGANG AVE 3,530001,2,190.7680956946349,23,0,794.7016514209494,7151.355483565703,5,17,23.0,0.117741202029317
1,JLN BT MERAH,150001,1,5.133483010197254,65,0,968.4323403857555,3923.995325906425,4,12,112.0,2.316809808411366
1,KG KAYU RD,431001,0,484.13869003247476,14,1,324.60454881348306,1638.065106848708,1,9,35.0,1.21799292594914
1,LOR 7 TOA PAYOH,310001,2,166.77884644881684,31,0,748.2741996199287,4019.5183313915145,5,21,8.0,0.76663069705997
1,LOR LEW LIAN,531001,2,388.04157069770446,41,2,234.88345502165208,5201.22692777859,6,16,42.0,0.011022905384367
1,MARINE TER,440001,1,370.4673122617008,19,0,1899.5875845641447,5514.74953172144,1,10,9.0,9.760958232647388
1,MARSILING DR,730001,0,908.3592344953582,32,0,920.6819277053538,17542.19505385972,2,10,84.0,0.0
1,PINE CL,390001,1,174.9431285048994,34,1,198.72133935536996,1651.0351280034192,14,10,35.0,0.057245422813115
1,QUEEN'S RD,260001,0,809.6273356317223,12,1,93.36748994636613,5482.03174700723,3,7,14.0,0.20851259182647
