blk_no,street,Postcode,p_sup400,p_supDist,p_fd400,p_mrt400,p_mrtDist,p_cbdDist,p_psc400,p_sch2km,p_pri2km,p_grn400
1,BEACH RD,190001,89,13,45,100,25,1,96,91,99,11
1,BEDOK STH AVE 1,460001,78,11,89,100,36,27,84,46,10,38
1,CHAI CHEE RD,461001,89,77,99,100,72,22,88,65,31,90
1,CHANGI VILLAGE RD,500001,100,100,81,100,100,89,100,100,100,13
1,DELTA AVE,160001,67,33,77,100,50,5,68,65,25,100
1,DOVER RD,130001,89,57,87,100,38,25,96,71,21,71
1,EVERTON PK,80001,56,30,12,100,33,1,68,88,25,59
1,GHIM MOH RD,270001,89,70,91,100,57,26,92,81,21,39
1,HAIG RD,430001,89,53,82,100,72,9,88,59,15,77
1,HOUGANG AVE 3,530001,78,28,92,100,63,25,80,49,34,95
1,JLN BT MERAH,150001,89,1,77,100,76,12,84,65,91,33
1,KG KAYU RD,431001,100,89,95,75,13,3,96,75,49,61
1,LOR 7 TOA PAYOH,310001,78,22,89,100,58,12,80,36,13,76
1,LOR LEW LIAN,531001,78,75,86,50,6,17,76,52,60,99
1,MARINE TER,440001,89,72,94,100,100,18,96,71,15,5
1,MARSILING DR,730001,100,100,89,100,73,98,92,71,83,100
1,PINE CL,390001,89,24,88,75,5,3,44,71,49,97
1,QUEEN'S RD,260001,100,99,96,75,1,18,88,81,23,93
1,TECK WHYE AVE,680001,78,29,82,100,69,78,84,36,39,43
1,TELOK BLANGAH CRES,90001,89,42,83,100,84,7,88,68,25,7
1,TG PAGAR PLAZA,82001,45,1,4,75,13,1,64,94,86,46
1,TOH YI DR,591501,67,17,69,75,6,42,76,91,5,100
1A,CANTONMENT RD,85101,89,53,11,75,8,1,72,84,25,47
1B,CANTONMENT RD,85201,89,43,8,75,11,1,68,84,25,45
1C,CANTONMENT RD,85301,56,31,8,75,15,1,64,84,25,45
1D,CANTONMENT RD,85401,67,26,8,75,18,1,68,88,25,49
1E,CANTONMENT RD,85501,67,33,11,75,19,1,68,88,25,53
1F,CANTONMENT RD,85601,56,32,12,100,27,1,68,88,25,57
1G,CANTONMENT RD,85701,56,33,13,100,32,1,68,88,25,60
10,CHAI CHEE RD,467010,89,52,95,100,51,23,72,59,31,98
10,EUNOS CRES,400010,89,15,87,75,10,13,84,71,65,93
10,GLOUCESTER RD,210010,89,67,71,75,10,2,88,68,18,94
10,HAIG RD,430010,45,19,68,100,29,8,80,59,49,79
10,HOLLAND AVE,271010,56,37,59,100,25,21,76,81,21,18
10,JLN BT HO SWEE,161010,100,88,78,100,48,3,92,68,25,100
10,JLN KUKOH,162010,89,51,70,100,39,2,88,78,42,12
10,JLN BATU,431010,100,98,97,100,27,3,96,75,49,57
10,JLN RUMAH TINGGI,150010,67,29,69,100,62,12,76,71,91,25
10,JOO SENG RD,360010,67,21,75,100,71,11,88,55,60,67
10,LOR 7 TOA PAYOH,310010,89,51,78,100,87,11,76,26,20,74
10,MARSILING DR,730010,100,100,86,100,76,98,96,62,76,100
10,PINE CL,391010,89,60,89,75,13,3,44,71,49,100
10,SELEGIE RD,180010,100,96,31,50,5,1,92,81,28,57
10,TECK WHYE AVE,680010,67,40,77,100,56,75,76,30,39,100
10,TELOK BLANGAH CRES,90010,89,2,85,100,88,6,84,68,25,9
10,TOH YI DR,590010,89,74,90,100,32,43,88,91,5,82
10A,BENDEMEER RD,331010,100,96,72,75,12,2,76,75,54,93
10A,BOON TIONG RD,160010,67,24,50,75,11,4,84,62,25,100
10B,BENDEMEER RD,332010,100,95,74,75,16,2,76,71,54,86
10B,BEDOK STH AVE 2,461010,78,44,94,100,55,30,76,49,10,38
10B,BOON TIONG RD,164010,67,22,52,75,7,4,84,62,25,100
10B,LOR 7 TOA PAYOH,312010,89,73,79,100,90,11,84,26,20,77
10C,BENDEMEER RD,333010,100,92,79,75,16,2,76,71,54,84
10C,BEDOK STH AVE 2,462010,78,39,94,100,56,30,76,49,10,38
10D,BEDOK STH AVE 2,463010,78,35,90,100,58,30,76,49,10,38
10E,BEDOK STH AVE 2,464010,78,51,90,100,65,30,80,52,10,36
10F,BEDOK STH AVE 2,465010,78,58,94,100,63,30,76,49,10,38
100,BEDOK NTH AVE 4,460100,78,43,85,100,63,34,92,36,17,79
100,C'WEALTH CRES,140100,100,98,95,100,50,19,92,78,23,81
100,LOR 1 TOA PAYOH,310100,89,6,66,75,6,13,68,49,13,81
100,WHAMPOA DR,320100,89,70,83,100,66,5,76,55,20,84
101,AH HOOD RD,320101,78,8,79,100,50,7,88,39,18,80
101,ALJUNIED CRES,380101,89,74,85,100,32,6,64,71,49,99
101,ANG MO KIO AVE 3,560101,100,81,79,100,84,28,80,42,4,41
101,BEDOK RESERVOIR RD,470101,100,91,95,100,57,17,88,75,65,59
101,BEDOK NTH AVE 4,460101,67,40,81,100,51,33,88,36,17,81
101,BISHAN ST 12,570101,100,87,78,100,34,14,84,49,13,23
101,BT BATOK WEST AVE 6,650101,78,67,73,75,20,66,72,55,57,29
101,BT PURMEI RD,90101,89,50,92,100,64,4,92,78,25,8
101,C'WEALTH CRES,140101,100,96,95,100,50,19,92,78,23,93
101,CLEMENTI ST 14,120101,78,18,85,100,70,40,84,55,5,76
101,GANGSA RD,670101,100,79,96,100,49,66,84,49,55,57
101,HENDERSON CRES,150101,100,93,100,100,38,7,92,62,25,59
101,HOUGANG AVE 1,530101,78,19,65,100,72,21,96,78,34,55
101,JLN RAJAH,321101,89,62,82,100,37,7,92,36,20,20
101,JURONG EAST ST 13,600101,67,15,77,100,41,70,80,65,57,41
101,LENGKONG TIGA,410101,89,14,97,100,33,17,84,75,65,73
