blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,n_sold,n_rental,n_residents,remaining_lease,Latitude,Longitude,Postcode,hdb_town
1,BEACH RD,16,KWN,142,0,1,138,1,2,0,0,0,0,0,0,0,142,0,357.8,48,1.3036713506088,103.864478660925,190001,KALLANG/WHAMPOA
1,BEDOK STH AVE 1,14,BD,206,0,0,204,0,2,0,0,0,0,0,0,0,206,0,517.0,53,1.32085208689731,103.933721091441,460001,BEDOK
1,CHAI CHEE RD,15,BD,102,0,0,0,10,92,0,0,0,0,0,0,0,102,0,355.0,60,1.32796879176302,103.922716018139,461001,BEDOK
1,CHANGI VILLAGE RD,4,PRC,55,0,0,54,0,1,0,0,0,0,0,0,0,55,0,138.5,53,1.3886100383707,103.988093482829,500001,PASIR RIS
1,DELTA AVE,25,BM,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,60,1.2920752508431,103.828584077626,160001,BUKIT MERAH
1,DOVER RD,12,QT,125,0,0,118,0,7,0,0,0,0,0,0,0,125,0,319.5,53,1.3025299473495,103.783271662459,130001,QUEENSTOWN
1,EVERTON PK,12,BM,95,0,0,62,0,33,0,0,0,0,0,0,0,95,0,270.5,58,1.27549895431693,103.841398475091,080001,BUKIT MERAH
1,GHIM MOH RD,15,QT,220,0,0,216,0,4,0,0,0,0,0,0,0,220,0,554.0,53,1.31287975684307,103.786855017635,270001,QUEENSTOWN
1,HAIG RD,15,GL,219,0,0,214,0,5,0,0,0,0,0,0,0,219,0,552.5,54,1.31129091782202,103.897703436187,430001,GEYLANG
1,HOUGANG AVE 3,14,HG,204,0,0,200,0,4,0,0,0,0,0,0,0,204,0,514.0,52,1.36413097349222,103.89300132385,530001,HOUGANG
1,JLN BT MERAH,14,BM,244,0,0,243,0,0,0,0,0,0,0,1,0,243,1,610.0,52,1.28644157642074,103.808286977232,150001,BUKIT MERAH
1,KG KAYU RD,10,KWN,107,0,0,106,1,0,0,0,0,0,0,0,0,107,0,268.3,41,1.30355769675629,103.883796413118,431001,KALLANG/WHAMPOA
1,LOR 7 TOA PAYOH,11,TP,196,0,0,194,0,2,0,0,0,0,0,0,0,196,0,492.0,46,1.33943033543358,103.853442790992,310001,TOA PAYOH
1,LOR LEW LIAN,14,SGN,179,0,0,174,0,3,0,0,0,0,0,2,0,177,2,450.5,55,1.35086712646948,103.875343939672,531001,SERANGOON
1,MARINE TER,25,MP,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,52,1.30482902187779,103.918614976369,440001,MARINE PARADE
1,MARSILING DR,11,WL,159,0,0,158,0,1,0,0,0,0,0,0,0,159,0,398.5,51,1.44067109860246,103.775739945213,730001,WOODLANDS
1,PINE CL,19,GL,156,0,0,0,100,56,0,0,0,0,0,0,0,156,0,526.0,76,1.30787056219408,103.883192164927,390001,GEYLANG
1,QUEEN'S RD,23,BT,88,0,0,0,0,88,0,0,0,0,0,0,0,88,0,308.0,52,1.31726629524359,103.806782877524,260001,BUKIT TIMAH
1,TECK WHYE AVE,13,CCK,118,0,0,68,48,0,2,0,0,0,0,0,0,118,0,336.0,61,1.38253882861956,103.751710905678,680001,CHOA CHU KANG
1,TELOK BLANGAH CRES,16,BM,148,0,0,146,0,2,0,0,0,0,0,0,0,148,0,372.0,51,1.27945660077329,103.817897561986,090001,BUKIT MERAH
1,TG PAGAR PLAZA,24,CT,163,0,0,158,0,5,0,0,0,0,0,0,0,163,0,412.5,54,1.27624051973973,103.843006115698,082001,CENTRAL AREA
1,TOH YI DR,13,BT,132,0,0,0,72,60,0,0,0,0,0,0,0,132,0,447.6,65,1.33958155877064,103.774586318946,591501,BUKIT TIMAH
1A,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27784271048219,103.840965923691,085101,CENTRAL AREA
1B,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27779940676005,103.841403430465,085201,CENTRAL AREA
1C,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27744909387079,103.841666679651,085301,CENTRAL AREA
1D,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27692024304713,103.841485788369,085401,CENTRAL AREA
